,ron,hermione,harry,filch,chess,snape,quirrell,dumbledore,lily,james
ron,0,2,13,0,1,0,0,0,0,0
hermione,4,0,2,0,0,0,0,0,0,0
harry,12,0,1,0,1,0,0,1,1,1
filch,0,0,0,2,0,1,0,0,0,0
chess,0,0,0,0,0,0,0,0,0,0
snape,0,0,0,0,0,0,3,0,0,0
quirrell,0,0,0,0,0,1,0,0,0,0
dumbledore,0,0,4,0,0,0,0,0,0,0
lily,0,0,0,0,0,0,0,0,0,0
james,0,0,0,0,0,0,0,0,0,0
