,harry,hermione,ron,hagrid,minerva,snape,neville,trevor,spells,chess
harry,5,223,159,25,26,0,5,1,0,1
hermione,185,0,120,0,0,3,8,0,5,0
ron,136,111,0,0,0,0,7,6,1,12
hagrid,103,4,4,0,0,0,0,0,0,0
minerva,51,28,28,0,0,0,0,0,0,0
snape,30,30,30,0,0,0,0,0,0,0
neville,23,23,23,0,0,0,0,0,0,0
trevor,0,0,0,0,0,0,0,0,0,0
spells,0,0,0,0,0,0,0,0,0,0
