,harry,quirrell,voldemort,dumbledore,hermione,ron,students,hagrid
harry,0,42,4,58,9,5,0,16
quirrell,135,0,33,0,0,0,0,0
voldemort,126,24,0,0,0,0,0,0
dumbledore,225,0,0,0,0,0,179,0
hermione,13,0,0,0,0,0,4,0
ron,3,0,0,0,0,0,0,0
students,0,0,0,0,0,0,0,0
hagrid,62,0,0,0,0,0,18,0
