,harry,hermione,ron,hagrid,minerva,filch,draco,firenze,fang
harry,0,55,74,4,1,0,11,36,4
hermione,47,0,0,10,0,0,0,0,0
ron,33,16,0,0,0,0,0,0,0
hagrid,64,85,63,0,0,0,59,10,0
minerva,44,44,44,0,0,0,43,0,0
filch,44,44,44,39,0,0,58,0,0
draco,19,0,0,5,16,19,1,0,3
firenze,112,0,0,0,0,0,0,0,0
fang,0,0,0,0,0,0,0,0,0
