,harry,hermione,ron,students,hooch,commentator,hagrid,snape,wood,spells
harry,8,68,35,0,0,0,29,0,3,0
hermione,30,0,18,0,0,0,31,0,0,2
ron,18,10,3,0,0,0,1,0,0,0
students,0,0,0,0,0,0,0,0,0,0
hooch,0,0,0,12,0,0,0,0,0,0
commentator,0,0,0,99,0,0,0,0,0,0
hagrid,102,97,97,0,0,0,22,0,0,0
snape,27,0,0,0,0,0,0,0,0,0
wood,33,0,0,0,0,0,0,0,0,0
spells,0,0,0,0,0,0,0,0,0,0
