,harry,hagrid,pub,quirrell,ollivander,gringotts
harry,0,130,0,5,9,0
hagrid,353,0,30,7,0,39
pub,18,6,6,0,0,0
quirrell,21,0,0,0,0,0
ollivander,130,0,0,0,5,0
gringotts,10,12,0,0,0,0
